Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
6/12/2008,11:41:00,4.278,0.428,236.78,18.6,33,0,18
6/12/2008,11:42:00,2.544,0.454,239.01,10.8,1,0,17
6/12/2008,11:43:00,2.612,0.444,238.18,11,1,0,17
6/12/2008,11:44:00,3.584,0.438,237.22,15.8,14,1,18
6/12/2008,11:45:00,4.79,0.42,236.16,20.2,38,0,17
6/12/2008,11:46:00,4.796,0.42,235.67,20.4,37,0,17
6/12/2008,11:47:00,3.978,0.42,235.23,17.6,28,0,17
6/12/2008,11:48:00,2.58,0.414,236.5,11,1,0,17
6/12/2008,11:49:00,2.49,0.31,236.4,10.6,1,0,17
6/12/2008,11:50:00,4.268,0.294,234.28,18.6,28,1,17
6/12/2008,11:51:00,4.616,0.284,233.88,19.6,36,0,17
6/12/2008,11:52:00,4.652,0.29,234.3,19.8,38,0,17
6/12/2008,11:53:00,4.652,0.286,234.59,19.8,37,0,17
6/12/2008,11:54:00,4.692,0.292,235.17,20,37,0,17
6/12/2008,11:55:00,4.658,0.284,234.92,19.8,37,0,17
6/12/2008,11:56:00,4.498,0.292,234.7,19.2,38,0,16
6/12/2008,11:57:00,2.53,0.328,237.34,10.6,1,0,18
6/12/2008,11:58:00,2.27,0.336,237.2,9.6,1,1,17
6/12/2008,11:59:00,4.306,0.372,235.65,18.6,30,0,17
6/12/2008,12:00:00,4.774,0.396,235.59,20.2,37,0,17
6/12/2008,12:01:00,4.308,0.29,236.2,18.2,38,0,17
6/12/2008,12:02:00,4.01,0.226,236.59,17,38,0,17
6/12/2008,12:03:00,1.844,0.246,239.13,7.8,3,0,18
6/12/2008,12:04:00,1.876,0.256,240.23,7.8,1,1,18
6/12/2008,12:05:00,1.868,0.252,240.87,7.8,1,0,17
6/12/2008,12:06:00,1.884,0.258,240.87,7.8,1,0,18
6/12/2008,12:07:00,2.568,0.248,240.48,11.6,10,0,18
6/12/2008,12:08:00,4.128,0.236,239.02,17.2,39,0,17
6/12/2008,12:09:00,4.084,0.23,238.27,17,38,0,18
6/12/2008,12:10:00,4.052,0.23,236.69,17,38,1,17
6/12/2008,12:11:00,4.064,0.238,236.76,17.2,38,0,17
6/12/2008,12:12:00,4.152,0.352,236.53,17.6,38,0,17
